mean_OOD,std_OOD,95% CI Lower,95% CI Upper
308.03536081315224,66.52622734451407,177.64395521790468,438.42676640839977
308.89750325938485,61.427704791380364,188.49920186827933,429.29580465049037
303.53242889185367,61.717402148349684,182.56632068108829,424.498537102619
371.87407913407833,58.19831629183584,257.8053792020801,485.9427790660766
292.08710942935977,45.97806744009602,201.97009724677156,382.204121611948
305.2842864827203,49.86198529414133,207.5547953062033,403.0137776592373
341.68267099525474,54.29783613831788,235.2589121641517,448.1064298263578
296.6616810399287,49.26500482584534,200.10227158127182,393.22109049858557
301.88146877497866,50.85580123832611,202.20409834785949,401.55883920209783
317.4681649666277,52.55968232616535,214.4511876073436,420.48514232591174
317.34872293048556,38.49048056897428,241.90738101529598,392.79006484567515
301.93980000782904,45.66763278747312,212.43123974438174,391.44836027127633
299.09441714305103,45.61517641607653,209.68867136754102,388.50016291856105
290.6822731579423,50.7898398838342,191.13418698562725,390.23035933025733
304.787258380039,48.550113375275856,209.62903616449836,399.9454805955797
301.3373284621107,48.16544875884252,206.93304889477935,395.74160802944203
293.43706441068844,53.35192367591577,188.86729400589354,398.00683481548333
361.7219790897925,36.275621529293716,290.6217608923768,432.8221972872082
358.7496026698409,39.16789440510862,281.980529635828,435.5186757038538
